,City,Date,PM2.5,PM10,O3,NO2,CO,SO2,AQI
0,Ahmedabad,01-01-2015,67.45057794890306,118.12710293078135,133.36,18.22,0.92,27.64,166.4635814889336
1,Ahmedabad,02-01-2015,67.45057794890306,118.12710293078135,34.06,15.69,0.97,24.55,166.4635814889336
2,Ahmedabad,03-01-2015,67.45057794890306,118.12710293078135,30.7,19.3,17.4,29.07,166.4635814889336
3,Ahmedabad,04-01-2015,67.45057794890306,118.12710293078135,36.08,18.48,1.7,18.59,166.4635814889336
4,Ahmedabad,05-01-2015,67.45057794890306,118.12710293078135,39.31,21.42,22.1,39.33,166.4635814889336
5,Ahmedabad,06-01-2015,67.45057794890306,118.12710293078135,46.51,38.48,45.41,45.76,166.4635814889336
6,Ahmedabad,07-01-2015,67.45057794890306,118.12710293078135,33.47,40.62,112.16,32.28,166.4635814889336
7,Ahmedabad,08-01-2015,67.45057794890306,118.12710293078135,31.89,36.74,80.87,38.54,166.4635814889336
8,Ahmedabad,09-01-2015,67.45057794890306,118.12710293078135,25.75,31.0,29.16,58.68,166.4635814889336
9,Ahmedabad,10-01-2015,67.45057794890306,118.12710293078135,4.55,7.04,2.2485982090856145,8.29,166.4635814889336
10,Ahmedabad,11-01-2015,67.45057794890306,118.12710293078135,6.79,55.8,132.07,25.03,166.4635814889336
11,Ahmedabad,12-01-2015,67.45057794890306,118.12710293078135,45.89,40.67,52.04,51.84,166.4635814889336
12,Ahmedabad,13-01-2015,67.45057794890306,118.12710293078135,35.16,44.2,48.82,68.21,166.4635814889336
13,Ahmedabad,14-01-2015,67.45057794890306,118.12710293078135,20.96,27.86,19.2,52.65,166.4635814889336
14,Ahmedabad,15-01-2015,67.45057794890306,118.12710293078135,47.63,16.96,0.6,28.89,166.4635814889336
15,Ahmedabad,16-01-2015,67.45057794890306,118.12710293078135,46.03,21.72,1.63,38.27,166.4635814889336
16,Ahmedabad,17-01-2015,67.45057794890306,118.12710293078135,52.24,24.73,11.44,49.5,166.4635814889336
17,Ahmedabad,18-01-2015,67.45057794890306,118.12710293078135,53.49,25.77,6.1,48.43,166.4635814889336
18,Ahmedabad,19-01-2015,67.45057794890306,118.12710293078135,49.48,26.88,2.51,50.03,166.4635814889336
19,Ahmedabad,20-01-2015,67.45057794890306,118.12710293078135,56.37,26.8,7.92,58.87,166.4635814889336
20,Ahmedabad,21-01-2015,67.45057794890306,118.12710293078135,48.75,33.56,9.52,106.93,166.4635814889336
21,Ahmedabad,22-01-2015,67.45057794890306,118.12710293078135,42.22,17.51,9.05,23.71,166.4635814889336
22,Ahmedabad,23-01-2015,67.45057794890306,118.12710293078135,32.92,27.96,22.53,39.19,166.4635814889336
23,Ahmedabad,24-01-2015,67.45057794890306,118.12710293078135,32.49,20.39,2.03,40.07,166.4635814889336
24,Ahmedabad,25-01-2015,67.45057794890306,118.12710293078135,39.26,20.43,1.42,58.41,166.4635814889336
25,Ahmedabad,26-01-2015,67.45057794890306,118.12710293078135,39.83,21.16,2.27,43.73,166.4635814889336
26,Ahmedabad,27-01-2015,67.45057794890306,118.12710293078135,41.1,21.7,2.19,43.28,166.4635814889336
27,Ahmedabad,28-01-2015,73.24,118.12710293078135,62.42,21.11,5.72,36.52,166.4635814889336
28,Ahmedabad,29-01-2015,83.13,118.12710293078135,59.76,28.71,6.93,49.52,209.0
29,Ahmedabad,30-01-2015,79.84,118.12710293078135,97.07,28.68,13.85,48.49,328.0
30,Ahmedabad,31-01-2015,94.52,118.12710293078135,111.33,32.66,24.39,67.39,514.0
31,Ahmedabad,01-02-2015,135.99,118.12710293078135,102.7,42.08,43.48,75.23,782.0
32,Ahmedabad,02-02-2015,178.33,118.12710293078135,107.38,35.31,54.56,55.04,914.0
33,Ahmedabad,03-02-2015,139.7,118.12710293078135,73.6,28.4,30.61,33.79,660.0
34,Ahmedabad,04-02-2015,80.65,118.12710293078135,47.3,22.83,2.37,25.73,294.0
35,Ahmedabad,05-02-2015,58.36,118.12710293078135,53.54,21.39,2.6,32.66,149.0
36,Ahmedabad,06-02-2015,79.29,118.12710293078135,59.3,26.94,1.16,67.41,190.0
37,Ahmedabad,07-02-2015,88.7,118.12710293078135,44.76,31.32,7.29,80.09,247.0
38,Ahmedabad,08-02-2015,74.28,118.12710293078135,47.42,27.3,8.92,54.28,379.0
39,Ahmedabad,09-02-2015,113.93,118.12710293078135,39.94,24.27,4.32,48.73,341.0
40,Ahmedabad,10-02-2015,105.39,118.12710293078135,56.15,18.21,1.41,35.91,256.0
41,Ahmedabad,11-02-2015,66.52,118.12710293078135,53.14,23.8,6.34,66.58,388.0
42,Ahmedabad,12-02-2015,65.04,118.12710293078135,31.88,30.1,14.19,65.91,288.0
43,Ahmedabad,13-02-2015,103.36,118.12710293078135,40.11,39.56,18.18,80.43,510.0
44,Ahmedabad,14-02-2015,177.33,118.12710293078135,36.47,47.58,37.49,99.72,761.0
45,Ahmedabad,15-02-2015,113.25,118.12710293078135,33.78,30.5,15.55,69.71,475.0
46,Ahmedabad,16-02-2015,99.7,118.12710293078135,30.57,28.1,19.85,73.23,536.0
47,Ahmedabad,17-02-2015,80.61,118.12710293078135,36.2,21.04,15.96,54.7,479.0
48,Ahmedabad,18-02-2015,100.79,118.12710293078135,37.43,25.93,16.24,43.11,592.0
49,Ahmedabad,19-02-2015,107.99,118.12710293078135,31.94,30.09,11.25,84.86,427.0
50,Ahmedabad,20-02-2015,140.29,118.12710293078135,40.98,36.14,33.84,101.53,588.0
51,Ahmedabad,21-02-2015,239.96,118.12710293078135,33.55,46.25,61.95,84.87,1141.0
52,Ahmedabad,22-02-2015,142.96,118.12710293078135,34.77,48.21,45.45,62.96,669.0
53,Ahmedabad,23-02-2015,238.41,118.12710293078135,37.3,55.07,77.7,89.07,1247.0
54,Ahmedabad,24-02-2015,118.72,118.12710293078135,38.8,32.01,12.56,61.54,411.0
55,Ahmedabad,25-02-2015,52.99,118.12710293078135,67.25,10.45,2.23,32.76,292.0
56,Ahmedabad,26-02-2015,67.45057794890306,118.12710293078135,34.49143047551845,28.560659061126955,2.2485982090856145,14.53197725590996,166.4635814889336
57,Ahmedabad,27-02-2015,67.45057794890306,118.12710293078135,34.49143047551845,28.560659061126955,2.2485982090856145,14.53197725590996,166.4635814889336
58,Ahmedabad,28-02-2015,67.45057794890306,118.12710293078135,34.49143047551845,28.560659061126955,2.2485982090856145,14.53197725590996,166.4635814889336
59,Ahmedabad,01-03-2015,61.12,118.12710293078135,30.48,16.81,3.58,28.44,166.4635814889336
60,Ahmedabad,02-03-2015,60.78,118.12710293078135,34.75,18.21,9.07,29.48,189.0
61,Ahmedabad,03-03-2015,91.83,118.12710293078135,38.46,28.71,12.99,39.71,408.0
62,Ahmedabad,04-03-2015,93.88,118.12710293078135,46.79,29.38,18.21,62.75,383.0
63,Ahmedabad,05-03-2015,173.01,118.12710293078135,59.39,42.27,48.44,78.76,780.0
64,Ahmedabad,06-03-2015,67.45057794890306,118.12710293078135,34.49143047551845,28.560659061126955,2.2485982090856145,14.53197725590996,166.4635814889336
65,Ahmedabad,07-03-2015,105.45,118.12710293078135,69.9,16.1,2.5,29.29,166.4635814889336
66,Ahmedabad,08-03-2015,71.56,118.12710293078135,57.16,16.83,3.51,30.28,190.0
67,Ahmedabad,09-03-2015,119.8,118.12710293078135,50.49,24.07,4.13,50.35,233.0
68,Ahmedabad,10-03-2015,106.71,118.12710293078135,60.17,25.59,5.39,38.85,297.0
69,Ahmedabad,11-03-2015,118.49,118.12710293078135,53.61,28.94,4.11,54.2,330.0
70,Ahmedabad,12-03-2015,106.01,118.12710293078135,40.91,27.31,4.28,70.29,252.0
71,Ahmedabad,13-03-2015,97.34,118.12710293078135,45.69,21.58,3.67,64.39,244.0
72,Ahmedabad,14-03-2015,83.92,118.12710293078135,34.94,25.03,6.42,67.53,234.0
73,Ahmedabad,15-03-2015,49.51,118.12710293078135,37.95,14.16,3.1,48.33,219.0
74,Ahmedabad,16-03-2015,30.76,118.12710293078135,54.78,14.14,2.72,43.62,118.0
75,Ahmedabad,17-03-2015,50.29,118.12710293078135,45.44,29.84,5.34,59.23,231.0
76,Ahmedabad,18-03-2015,57.69,118.12710293078135,52.87,29.48,25.36,58.33,286.0
77,Ahmedabad,19-03-2015,105.06,118.12710293078135,45.65,37.05,46.24,53.62,883.0
78,Ahmedabad,20-03-2015,94.1,118.12710293078135,46.77,36.53,22.14,61.31,720.0
79,Ahmedabad,21-03-2015,111.89,118.12710293078135,50.57,43.29,22.25,66.44,570.0
80,Ahmedabad,22-03-2015,108.59,118.12710293078135,46.68,39.34,25.38,75.8,589.0
81,Ahmedabad,23-03-2015,130.76,118.12710293078135,41.58,41.03,45.61,65.77,818.0
82,Ahmedabad,24-03-2015,143.55,118.12710293078135,35.38,31.15,27.3,50.98,737.0
